2026-03-12 18:51:53 | myframework | DEBUG | Collector script already on endpoint: C:\TestPulse\scripts\collect_endpoint_artifacts.ps1
2026-03-12 18:51:53 | myframework | INFO | Uploading collector script → C:\TestPulse\scripts\collect_endpoint_artifacts.ps1
2026-03-12 18:51:53 | myframework | INFO | Running collector on endpoint: & 'C:\TestPulse\scripts\collect_endpoint_artifacts.ps1' -RunId 'RUN123' -OutRoot 'C:\TestPulse\runs' -LanProfileName 'TestProfile' -IncludeCerts
2026-03-12 18:51:53 | myframework | INFO | Collector ZIP created: C:\TestPulse\runs\RUN123\endpoint_windows_RUN123.zip
2026-03-12 18:51:53 | myframework | WARNING | Remote cleanup failed (non-fatal): access denied
2026-03-12 18:56:41 | myframework | DEBUG | Collector script already on endpoint: C:\TestPulse\scripts\collect_endpoint_artifacts.ps1
2026-03-12 18:56:41 | myframework | INFO | Uploading collector script → C:\TestPulse\scripts\collect_endpoint_artifacts.ps1
2026-03-12 18:56:41 | myframework | INFO | Running collector on endpoint: & 'C:\TestPulse\scripts\collect_endpoint_artifacts.ps1' -RunId 'RUN123' -OutRoot 'C:\TestPulse\runs' -LanProfileName 'TestProfile' -IncludeCerts
2026-03-12 18:56:41 | myframework | INFO | Collector ZIP created: C:\TestPulse\runs\RUN123\endpoint_windows_RUN123.zip
2026-03-12 18:56:41 | myframework | WARNING | Remote cleanup failed (non-fatal): access denied
2026-03-12 18:59:13 | myframework | INFO | === Collecting endpoint artifacts for RunId=smoke_1773359953 ===
2026-03-12 18:59:13 | myframework | INFO | Executing command on WindowsPassthrough: Test-Path 'C:\TestPulse\scripts\collect_endpoint_artifacts.ps1'
2026-03-12 18:59:14 | myframework | INFO | Uploading collector script → C:\TestPulse\scripts\collect_endpoint_artifacts.ps1
2026-03-12 18:59:14 | myframework | INFO | Executing command on WindowsPassthrough: New-Item -Path 'C:\TestPulse\scripts' -ItemType Directory -Force | Out-Null
2026-03-12 18:59:15 | myframework | INFO | Created directory: C:\TestPulse\scripts
2026-03-12 18:59:15 | myframework | INFO | Copying /home/triley/fstester001-mab/scripts/collect_endpoint_artifacts.ps1 to C:\TestPulse\scripts\collect_endpoint_artifacts.ps1
2026-03-12 18:59:15 | myframework | INFO | File size: 6445 bytes
2026-03-12 18:59:15 | myframework | INFO | Executing command on WindowsPassthrough: New-Item -Path 'C:\TestPulse\scripts' -ItemType Directory -Force | Out-Null
2026-03-12 18:59:16 | myframework | INFO | Created directory: C:\TestPulse\scripts
2026-03-12 18:59:16 | myframework | INFO | Using pypsrp native file transfer
2026-03-12 18:59:16 | myframework | INFO | Successfully copied /home/triley/fstester001-mab/scripts/collect_endpoint_artifacts.ps1 to C:\TestPulse\scripts\collect_endpoint_artifacts.ps1
2026-03-12 18:59:16 | myframework | INFO | Running collector on endpoint: & 'C:\TestPulse\scripts\collect_endpoint_artifacts.ps1' -RunId 'smoke_1773359953' -OutRoot 'C:\TestPulse\runs'
2026-03-12 18:59:16 | myframework | INFO | Executing command on WindowsPassthrough: & 'C:\TestPulse\scripts\collect_endpoint_artifacts.ps1' -RunId 'smoke_1773359953' -OutRoot 'C:\TestPulse\runs'
2026-03-12 18:59:19 | myframework | DEBUG | Filtered PowerShell progress output from stderr
2026-03-12 18:59:19 | myframework | INFO | Executing command on WindowsPassthrough: Test-Path 'C:\TestPulse\runs\smoke_1773359953\endpoint_windows_smoke_1773359953.zip'
2026-03-12 18:59:19 | myframework | INFO | Collector ZIP created: C:\TestPulse\runs\smoke_1773359953\endpoint_windows_smoke_1773359953.zip
2026-03-12 18:59:19 | myframework | INFO | Downloading C:\TestPulse\runs\smoke_1773359953\endpoint_windows_smoke_1773359953.zip → /tmp/pytest-of-triley/pytest-0/test_collect_basic0/endpoint_windows_smoke_1773359953.zip
2026-03-12 18:59:20 | myframework | INFO | [OK] Downloaded 139737 bytes
2026-03-12 18:59:20 | myframework | INFO | [OK] Endpoint artifacts saved to: /tmp/pytest-of-triley/pytest-0/test_collect_basic0/endpoint_windows_smoke_1773359953.zip
2026-03-12 18:59:20 | myframework | INFO | Executing command on WindowsPassthrough: if (Test-Path 'C:\TestPulse\runs\smoke_1773359953') { Remove-Item -Path 'C:\TestPulse\runs\smoke_1773359953' -Recurse -Force }
2026-03-12 18:59:21 | myframework | INFO | Cleaned up remote directory: C:\TestPulse\runs\smoke_1773359953
2026-03-12 19:00:05 | myframework | INFO | === Collecting endpoint artifacts for RunId=certs_1773360005 ===
2026-03-12 19:00:05 | myframework | INFO | Executing command on WindowsPassthrough: Test-Path 'C:\TestPulse\scripts\collect_endpoint_artifacts.ps1'
2026-03-12 19:00:05 | myframework | DEBUG | Collector script already on endpoint: C:\TestPulse\scripts\collect_endpoint_artifacts.ps1
2026-03-12 19:00:05 | myframework | INFO | Running collector on endpoint: & 'C:\TestPulse\scripts\collect_endpoint_artifacts.ps1' -RunId 'certs_1773360005' -OutRoot 'C:\TestPulse\runs' -IncludeCerts
2026-03-12 19:00:05 | myframework | INFO | Executing command on WindowsPassthrough: & 'C:\TestPulse\scripts\collect_endpoint_artifacts.ps1' -RunId 'certs_1773360005' -OutRoot 'C:\TestPulse\runs' -IncludeCerts
2026-03-12 19:00:07 | myframework | DEBUG | Filtered PowerShell progress output from stderr
2026-03-12 19:00:07 | myframework | INFO | Executing command on WindowsPassthrough: Test-Path 'C:\TestPulse\runs\certs_1773360005\endpoint_windows_certs_1773360005.zip'
2026-03-12 19:00:08 | myframework | INFO | Collector ZIP created: C:\TestPulse\runs\certs_1773360005\endpoint_windows_certs_1773360005.zip
2026-03-12 19:00:08 | myframework | INFO | Downloading C:\TestPulse\runs\certs_1773360005\endpoint_windows_certs_1773360005.zip → /tmp/pytest-of-triley/pytest-1/test_collect_with_certs0/endpoint_windows_certs_1773360005.zip
2026-03-12 19:00:09 | myframework | INFO | [OK] Downloaded 143389 bytes
2026-03-12 19:00:09 | myframework | INFO | [OK] Endpoint artifacts saved to: /tmp/pytest-of-triley/pytest-1/test_collect_with_certs0/endpoint_windows_certs_1773360005.zip
2026-03-12 19:00:09 | myframework | INFO | Executing command on WindowsPassthrough: if (Test-Path 'C:\TestPulse\runs\certs_1773360005') { Remove-Item -Path 'C:\TestPulse\runs\certs_1773360005' -Recurse -Force }
2026-03-12 19:00:09 | myframework | INFO | Cleaned up remote directory: C:\TestPulse\runs\certs_1773360005
2026-03-12 19:09:50 | myframework | DEBUG | Collector script already on endpoint: C:\TestPulse\scripts\collect_endpoint_artifacts.ps1
2026-03-12 19:09:50 | myframework | INFO | Uploading collector script → C:\TestPulse\scripts\collect_endpoint_artifacts.ps1
2026-03-12 19:09:50 | myframework | INFO | Running collector on endpoint: & 'C:\TestPulse\scripts\collect_endpoint_artifacts.ps1' -RunId 'RUN123' -OutRoot 'C:\TestPulse\runs' -LanProfileName 'TestProfile' -IncludeCerts
2026-03-12 19:09:50 | myframework | INFO | Collector ZIP created: C:\TestPulse\runs\RUN123\endpoint_windows_RUN123.zip
2026-03-12 19:09:50 | myframework | WARNING | Remote cleanup failed (non-fatal): access denied
2026-03-12 19:09:51 | myframework | INFO | === Collecting endpoint artifacts for RunId=smoke_1773360591 ===
2026-03-12 19:09:51 | myframework | INFO | Executing command on WindowsPassthrough: Test-Path 'C:\TestPulse\scripts\collect_endpoint_artifacts.ps1'
2026-03-12 19:09:52 | myframework | DEBUG | Collector script already on endpoint: C:\TestPulse\scripts\collect_endpoint_artifacts.ps1
2026-03-12 19:09:52 | myframework | INFO | Running collector on endpoint: & 'C:\TestPulse\scripts\collect_endpoint_artifacts.ps1' -RunId 'smoke_1773360591' -OutRoot 'C:\TestPulse\runs'
2026-03-12 19:09:52 | myframework | INFO | Executing command on WindowsPassthrough: & 'C:\TestPulse\scripts\collect_endpoint_artifacts.ps1' -RunId 'smoke_1773360591' -OutRoot 'C:\TestPulse\runs'
2026-03-12 19:09:53 | myframework | DEBUG | Filtered PowerShell progress output from stderr
2026-03-12 19:09:53 | myframework | INFO | Executing command on WindowsPassthrough: Test-Path 'C:\TestPulse\runs\smoke_1773360591\endpoint_windows_smoke_1773360591.zip'
2026-03-12 19:09:54 | myframework | INFO | Collector ZIP created: C:\TestPulse\runs\smoke_1773360591\endpoint_windows_smoke_1773360591.zip
2026-03-12 19:09:54 | myframework | INFO | Downloading C:\TestPulse\runs\smoke_1773360591\endpoint_windows_smoke_1773360591.zip → /tmp/pytest-of-triley/pytest-2/test_collect_basic0/endpoint_windows_smoke_1773360591.zip
2026-03-12 19:09:55 | myframework | INFO | [OK] Downloaded 140123 bytes
2026-03-12 19:09:55 | myframework | INFO | [OK] Endpoint artifacts saved to: /tmp/pytest-of-triley/pytest-2/test_collect_basic0/endpoint_windows_smoke_1773360591.zip
